MatchId;GameName;GameSettings;PlayerId;PlayerName;TimeSettings;Points;PlayerId;PlayerName;TimeSettings;Points
73;AntiKingChess;;3;BasicKI;120000,0;0;5;BasicKI;120000,0;0
74;AntiKingChess;;2;Group04Ki;120000,0;0;6;Nidoran;120000,0;1
75;AntiKingChess;;3;BasicKI;120000,0;0;0;BasicKI;120000,0;1
76;AntiKingChess;;2;Group04Ki;120000,0;0;4;Group06BasicKI;120000,0;1
77;AntiKingChess;;1;KartoffelKI;120000,0;0;5;BasicKI;120000,0;1
78;AntiKingChess;;2;Group04Ki;120000,0;0;0;BasicKI;120000,0;1
79;AntiKingChess;;1;KartoffelKI;120000,0;0;3;BasicKI;120000,0;0
80;AntiKingChess;;6;Nidoran;120000,0;1;5;BasicKI;120000,0;0
81;AntiKingChess;;1;KartoffelKI;120000,0;0;0;BasicKI;120000,0;0
82;AntiKingChess;;6;Nidoran;120000,0;0;3;BasicKI;120000,0;0
83;AntiKingChess;;5;BasicKI;120000,0;0;4;Group06BasicKI;120000,0;1
84;AntiKingChess;;1;KartoffelKI;120000,0;0;6;Nidoran;120000,0;0
85;AntiKingChess;;2;Group04Ki;120000,0;1;5;BasicKI;120000,0;0
86;AntiKingChess;;3;BasicKI;120000,0;0;4;Group06BasicKI;120000,0;1
87;AntiKingChess;;0;BasicKI;120000,0;0;6;Nidoran;120000,0;1
88;AntiKingChess;;1;KartoffelKI;120000,0;0;4;Group06BasicKI;120000,0;0
89;AntiKingChess;;2;Group04Ki;120000,0;0;3;BasicKI;120000,0;1
90;AntiKingChess;;0;BasicKI;120000,0;0;5;BasicKI;120000,0;0
91;AntiKingChess;;6;Nidoran;120000,0;0;4;Group06BasicKI;120000,0;1
92;AntiKingChess;;1;KartoffelKI;120000,0;1;2;Group04Ki;120000,0;0
93;AntiKingChess;;0;BasicKI;120000,0;0;4;Group06BasicKI;120000,0;1
94;AntiKingChess;;5;BasicKI;120000,0;1;3;BasicKI;120000,0;0
95;AntiKingChess;;6;Nidoran;120000,0;0;2;Group04Ki;120000,0;0
