GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;3;BasicKI;120000,0
1;6;Nidoran;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pd3-e4;747
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Pc8-b7;586
2;0;119253;0;3rbkqA/1pp1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Nd2-c4;879
3;1;119414;0;3rbkqA/1pp1nnbr/2pppppp/8/2N1P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Be8-d7;79
4;0;118374;0;3r1kqA/1ppbnnbr/2pppppp/8/2N1P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Nc4-a5;620
5;1;119335;0;3r1kqA/1ppbnnbr/2pppppp/N7/4P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Ne7-d5;176
6;0;117754;0;3r1kqA/1ppb1nbr/2pppppp/N2n4/4P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Re1-e2;1668
7;1;119159;0;3r1kqA/1ppb1nbr/2pppppp/N2n4/4P3/PPP1PP2/RBN1RP2/aQKB1P2 Aa;Nf7-e5;199
8;0;116086;0;3r1kqA/1ppb2br/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 Aa;Ah8-f7;1612
9;1;118960;0;3r1kq1/1ppb1Abr/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Qg8-h8;118
10;0;114474;0;3r1k1q/1ppb1Abr/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Af7-e7;2136
11;1;118842;0;3r1k1q/1ppbA1br/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Rd8-c8;746
12;0;112338;0;2r2k1q/1ppbA1br/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Ae7-f7;1550
13;1;118096;0;2r2k1q/1ppb1Abr/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Pe6-f5;249
14;0;110788;0;2r2k1q/1ppb1Abr/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Af7-e7;2187
15;1;117847;0;2r2k1q/1ppbA1br/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Kf8-f7;313
16;0;108601;0;2r4q/1ppbAkbr/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Re2-d2;1614
17;1;117534;0;2r4q/1ppbAkbr/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Pf6-g5;130
18;0;106987;0;2r4q/1ppbAkbr/2pp2pp/N2nnpp1/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Rd2-d3;2781
19;1;117404;0;2r4q/1ppbAkbr/2pp2pp/N2nnpp1/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Pd6-c5;140
20;0;104206;0;2r4q/1ppbAkbr/2p3pp/N1pnnpp1/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Ae7-f6;3149
21;1;117264;0;2r4q/1ppb1kbr/2p2App/N1pnnpp1/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Pg6-h5;565
22;0;101057;0;2r4q/1ppb1kbr/2p2A1p/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Af6-g6;2472
23;1;116699;0;2r4q/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Rc8-b8;541
24;0;98585;0;1r5q/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Rd3-d2;3087
25;1;116158;0;1r5q/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Qh8-d8;288
26;0;95498;0;1r1q4/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Rd2-d3;1777
27;1;115870;0;1r1q4/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Bg7-h8;715
28;0;93721;0;1r1q3b/1ppb1k1r/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Na5xb7;1957
29;1;115155;0;1r1q3b/1Npb1k1r/2p3Ap/2pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Ne5xd3;163
end; - ; - ; - ;1r1q3b/1Npb1k1r/2p3Ap/2pn1ppp/4P3/PPPnPP2/RBN2P2/aQKB1P2 a; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;3;BasicKI;120000,0;0;91764
1;6;Nidoran;120000,0;1;114992
