GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;5;BasicKI;120000,0
1;1;KartoffelKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pa3-b4;6
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pc6-b5;764
2;0;119994;0;2prbkqA/2p1nnbr/3ppppp/1p6/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pb4-c5;8
3;1;119236;0;2prbkqA/2p1nnbr/3ppppp/1pP5/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pf6-g5;1356
4;0;119986;0;2prbkqA/2p1nnbr/3pp1pp/1pP3p1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pc5-b6;10
5;1;117880;0;2prbkqA/2p1nnbr/1P1pp1pp/1p4p1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Nf7-e5;3395
6;0;119976;0;2prbkqA/2p1n1br/1P1pp1pp/1p2n1p1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Ah8-f7;3
7;1;114485;0;2prbkq1/2p1nAbr/1P1pp1pp/1p2n1p1/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Ne5xd3;179
end; - ; - ; - ;2prbkq1/2p1nAbr/1P1pp1pp/1p4p1/8/1PPnPP2/RBNN1P2/aQKBRP2 a; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;5;BasicKI;120000,0;0;119973
1;1;KartoffelKI;120000,0;1;114306
