GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;5;BasicKI;120000,0
1;2;Group04Ki;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pa3-b4;9
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pe6-f5;1
2;0;119991;0;2prbkqA/2p1nnbr/2pp1ppp/5p2/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pb4-c5;8
3;1;119999;0;2prbkqA/2p1nnbr/2pp1ppp/2P2p2/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pf6-g5;1
4;0;119983;0;2prbkqA/2p1nnbr/2pp2pp/2P2pp1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pc5-b6;8
5;1;119998;0;2prbkqA/2p1nnbr/1Ppp2pp/5pp1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pg6-h5;1
6;0;119975;0;2prbkqA/2p1nnbr/1Ppp3p/5ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Ah8-g6;9
7;1;119997;0;2prbkq1/2p1nnbr/1Ppp2Ap/5ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Qg8-h8;1
8;0;119966;0;2prbk1q/2p1nnbr/1Ppp2Ap/5ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Pb6-a7;8
9;1;119996;0;2prbk1q/P1p1nnbr/2pp2Ap/5ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Pc6-b5;1
10;0;119958;0;2prbk1q/P1p1nnbr/3p2Ap/1p3ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Ag6-f6;10
11;1;119995;0;2prbk1q/P1p1nnbr/3p1A1p/1p3ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Qh8-g8;1
12;0;119948;0;2prbkq1/P1p1nnbr/3p1A1p/1p3ppp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Af6-e5;9
13;1;119994;0;2prbkq1/P1p1nnbr/3p3p/1p2Appp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Rd8-d7;1
14;0;119939;0;2p1bkq1/P1prnnbr/3p3p/1p2Appp/8/1PPPPP2/RBNN1P2/aQKBRP2 a;Ae5-d4;10
15;1;119993;0;2p1bkq1/P1prnnbr/3p3p/1p3ppp/3A4/1PPPPP2/RBNN1P2/aQKBRP2 a;Pc8-b7;1
16;0;119929;0;4bkq1/Ppprnnbr/3p3p/1p3ppp/3A4/1PPPPP2/RBNN1P2/aQKBRP2 a;Ad4xc3;9
17;1;119992;0;4bkq1/Ppprnnbr/3p3p/1p3ppp/8/1PAPPP2/RBNN1P2/aQKBRP2 a;Bg7-f6;1
18;0;119920;0;4bkq1/Ppprnn1r/3p1b1p/1p3ppp/8/1PAPPP2/RBNN1P2/aQKBRP2 a;Ac3xb2;9
19;1;119991;0;4bkq1/Ppprnn1r/3p1b1p/1p3ppp/8/1P1PPP2/RANN1P2/aQKBRP2 a;Rh7-h8;2
20;0;119911;0;4bkqr/Ppprnn2/3p1b1p/1p3ppp/8/1P1PPP2/RANN1P2/aQKBRP2 a;Pb3-c4;8
21;1;119989;0;4bkqr/Ppprnn2/3p1b1p/1p3ppp/2P5/3PPP2/RANN1P2/aQKBRP2 a;Nf7-d8;1
22;0;119903;0;3nbkqr/Ppprn3/3p1b1p/1p3ppp/2P5/3PPP2/RANN1P2/aQKBRP2 a;Pc4-d5;8
23;1;119988;0;3nbkqr/Ppprn3/3p1b1p/1p1P1ppp/8/3PPP2/RANN1P2/aQKBRP2 a;Pd6-c5;1
24;0;119895;0;3nbkqr/Ppprn3/5b1p/1ppP1ppp/8/3PPP2/RANN1P2/aQKBRP2 a;Pd5-e6;9
25;1;119987;0;3nbkqr/Ppprn3/4Pb1p/1pp2ppp/8/3PPP2/RANN1P2/aQKBRP2 a;Qg8-h7;1
26;0;119886;0;3nbk1r/Ppprn2q/4Pb1p/1pp2ppp/8/3PPP2/RANN1P2/aQKBRP2 a;Pe6-f7;9
27;1;119986;0;3nbk1r/PpprnP1q/5b1p/1pp2ppp/8/3PPP2/RANN1P2/aQKBRP2 a;Kf8xf7;1
28;0;119877;0;3nb2r/Ppprnk1q/5b1p/1pp2ppp/8/3PPP2/RANN1P2/aQKBRP2 a;Pd3-e4;9
29;1;119985;0;3nb2r/Ppprnk1q/5b1p/1pp2ppp/4P3/4PP2/RANN1P2/aQKBRP2 a;Kf7-g6;1
30;0;119868;0;3nb2r/Ppprn2q/5bkp/1pp2ppp/4P3/4PP2/RANN1P2/aQKBRP2 a;Pe4-d5;8
31;1;119984;0;3nb2r/Ppprn2q/5bkp/1ppP1ppp/8/4PP2/RANN1P2/aQKBRP2 a;Pg5-h4;1
32;0;119860;0;3nb2r/Ppprn2q/5bkp/1ppP1p1p/7p/4PP2/RANN1P2/aQKBRP2 a;Pd5-e6;9
33;1;119983;0;3nb2r/Ppprn2q/4Pbkp/1pp2p1p/7p/4PP2/RANN1P2/aQKBRP2 a;Bf6-g5;0
end; - ; - ; - ;3nb2r/Ppprn2q/4P1kp/1pp2pbp/7p/4PP2/RANN1P2/aQKBRP2 a; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;5;BasicKI;120000,0;0;119851
1;2;Group04Ki;120000,0;1;119983
